,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore
5985,Sinopec Shanghai Petrochemical Co Ltd,China,2/24/2023, SHIIY,10000,17.0,170000.0,0.396825397
6044,Sinopec Shanghai Petrochemical Co Ltd,China,3/9/2023, SHIIY,10000,17.54000092,175400.0092,0.396825397
82,Vipshop Holdings Ltd,Cayman Islands,4/14/2020, VIPS,10000,17.56999969,175699.9969,0.396825397
173,Vipshop Holdings Ltd,Cayman Islands,5/19/2020, VIPS,10000,16.82999992,168299.9992,0.396825397
264,Vipshop Holdings Ltd,Cayman Islands,6/10/2020, VIPS,10000,18.34000015,183400.0015,0.396825397
354,Vipshop Holdings Ltd,Cayman Islands,7/16/2020, VIPS,10000,21.37000084,213700.0084,0.396825397
444,Vipshop Holdings Ltd,Cayman Islands,8/11/2020, VIPS,10000,22.70000076,227000.0076,0.396825397
546,Vipshop Holdings Ltd,Cayman Islands,9/28/2020, VIPS,10000,16.59000015,165900.0015,0.396825397
652,Vipshop Holdings Ltd,Cayman Islands,11/11/2020, VIPS,10000,21.03000069,210300.0069,0.396825397
762,Vipshop Holdings Ltd,Cayman Islands,1/21/2021, VIPS,10000,30.17000008,301700.0008,0.396825397
872,Vipshop Holdings Ltd,Cayman Islands,3/3/2021, VIPS,10000,40.40999985,404099.9985,0.396825397
985,Vipshop Holdings Ltd,Cayman Islands,4/1/2021, VIPS,10000,31.67000008,316700.0008,0.396825397
1102,Vipshop Holdings Ltd,Cayman Islands,5/3/2021, VIPS,10000,31.53000069,315300.0069,0.396825397
1219,Vipshop Holdings Ltd,Cayman Islands,7/15/2021, VIPS,10000,19.89999962,198999.9962,0.396825397
1337,Vipshop Holdings Ltd,Cayman Islands,8/9/2021, VIPS,10000,17.87999916,178799.9916,0.396825397
1455,Vipshop Holdings Ltd,Cayman Islands,9/2/2021, VIPS,10000,16.20000076,162000.0076,0.396825397
1579,Vipshop Holdings Ltd,Cayman Islands,9/9/2021, VIPS,10000,15.22000027,152200.0027,0.396825397
1703,Vipshop Holdings Ltd,Cayman Islands,10/19/2021, VIPS,10000,12.48999977,124899.9977,0.396825397
1827,Vipshop Holdings Ltd,Cayman Islands,10/29/2021, VIPS,10000,11.43999958,114399.9958,0.396825397
1953,Vipshop Holdings Ltd,Cayman Islands,12/14/2021, VIPS,10000,9.130000114,91300.00114,0.396825397
2079,Vipshop Holdings Ltd,Cayman Islands,1/25/2022, VIPS,10000,8.920000076,89200.00076,0.396825397
2205,Vipshop Holdings Ltd,Cayman Islands,2/9/2022, VIPS,10000,10.06999969,100699.9969,0.396825397
2331,Vipshop Holdings Ltd,Cayman Islands,2/16/2022, VIPS,10000,10.39000034,103900.0034,0.396825397
2454,Vipshop Holdings Ltd,Cayman Islands,3/16/2022, VIPS,10000,8.56000042,85600.0042,0.396825397
2577,Vipshop Holdings Ltd,Cayman Islands,4/11/2022, VIPS,10000,8.390000343,83900.00343,0.396825397
2700,Vipshop Holdings Ltd,Cayman Islands,5/11/2022, VIPS,10000,7.800000191,78000.00191,0.396825397
2821,Vipshop Holdings Ltd,Cayman Islands,6/14/2022, VIPS,10000,10.97000027,109700.0027,0.396825397
2943,Vipshop Holdings Ltd,Cayman Islands,7/15/2022, VIPS,10000,9.609999657,96099.99657,0.396825397
3065,Vipshop Holdings Ltd,Cayman Islands,8/8/2022, VIPS,10000,10.25,102500.0,0.396825397
3186,Vipshop Holdings Ltd,Cayman Islands,9/14/2022, VIPS,10000,10.68999958,106899.9958,0.396825397
3306,Vipshop Holdings Ltd,Cayman Islands,10/19/2022, VIPS,10000,7.820000172,78200.00172,0.396825397
3425,Vipshop Holdings Ltd,Cayman Islands,11/9/2022, VIPS,10000,8.010000229,80100.00229,0.396825397
3556,Vipshop Holdings Ltd,Cayman Islands,12/16/2022, VIPS,10000,13.56999969,135699.9969,0.396825397
3688,Vipshop Holdings Ltd,Cayman Islands,1/27/2023, VIPS,10000,15.93000031,159300.0031,0.396825397
3820,Vipshop Holdings Ltd,Cayman Islands,2/8/2023, VIPS,10000,14.80000019,148000.0019,0.396825397
3953,Vipshop Holdings Ltd,Cayman Islands,2/24/2023, VIPS,10000,13.90999985,139099.9985,0.396825397
4093,Vipshop Holdings Ltd,Cayman Islands,3/9/2023, VIPS,10000,14.5,145000.0,0.396825397
41,JinkoSolar Holding Co Ltd,Cayman Islands,4/14/2020,JKS,10000,17.71999931,177199.9931,0.396825397
132,JinkoSolar Holding Co Ltd,Cayman Islands,5/19/2020,JKS,10000,17.35000038,173500.0038,0.396825397
223,JinkoSolar Holding Co Ltd,Cayman Islands,6/10/2020,JKS,10000,18.55999947,185599.9947,0.396825397
312,JinkoSolar Holding Co Ltd,Cayman Islands,7/16/2020,JKS,10000,20.84000015,208400.0015,0.396825397
402,JinkoSolar Holding Co Ltd,Cayman Islands,8/11/2020,JKS,10000,21.14999962,211499.9962,0.396825397
496,JinkoSolar Holding Co Ltd,Cayman Islands,9/28/2020,JKS,10000,37.79000092,377900.0092,0.396825397
