,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore,Climate
13528,Underground Energy Corp,"Virgin Islands, British",10/19/2021,UGGYF,10000,0,0,0.396825397,
13529,Underground Energy Corp,"Virgin Islands, British",12/14/2021,UGGYF,10000,0,0,0.396825397,
13530,Underground Energy Corp,"Virgin Islands, British",1/25/2022,UGGYF,10000,0,0,0.396825397,
13531,Underground Energy Corp,"Virgin Islands, British",2/16/2022,UGGYF,10000,0,0,0.396825397,
13532,Underground Energy Corp,"Virgin Islands, British",3/16/2022,UGGYF,10000,0,0,0,
13533,Underground Energy Corp,"Virgin Islands, British",04-11-2022,UGGYF,10000,0,0,0,
13534,Underground Energy Corp,"Virgin Islands, British",7/15/2022,UGGYF,10000,0,0,0,
13535,Underground Energy Corp,"Virgin Islands, British",08-08-2022,UGGYF,10000,0,0,0,
13536,Underground Energy Corp,"Virgin Islands, British",9/14/2022,UGGYF,10000,0,0,0,
13537,Underground Energy Corp,"Virgin Islands, British",10/19/2022,UGGYF,10000,0,0,0,
13538,Underground Energy Corp,"Virgin Islands, British",11-09-2022,UGGYF,10000,0,0,0,
13539,Underground Energy Corp,"Virgin Islands, British",12/16/2022,UGGYF,10000,0,0,0,
13540,Underground Energy Corp,"Virgin Islands, British",1/27/2023,UGGYF,10000,0,0,0,
13541,Underground Energy Corp,"Virgin Islands, British",02-08-2023,UGGYF,10000,0,0,0,
13542,Underground Energy Corp,"Virgin Islands, British",03-09-2023,UGGYF,10000,0,0,0,
13543,,,4/14/2020,UGI,10000,30,300000,0.722222222,
13544,,,5/19/2020,UGI,10000,31.51000023,315100.0023,0.722222222,
13545,,,06-10-2020,UGI,10000,35.36999893,353699.9893,0.722222222,
13546,,,7/16/2020,UGI,10000,33.22000122,332200.0122,0.722222222,
13547,,,08-11-2020,UGI,10000,36.41999817,364199.9817,0.722222222,
13548,,,9/28/2020,UGI,10000,33.20000076,332000.0076,0.722222222,
13549,,,11-11-2020,UGI,10000,37.22000122,372200.0122,0.722222222,
13550,,,1/21/2021,UGI,10000,37.47999954,374799.9954,0.722222222,
13551,,,03-03-2021,UGI,10000,39.58000183,395800.0183,0.722222222,
13552,,,04-01-2021,UGI,10000,41.25,412500,0.722222222,
13553,,,05-03-2021,UGI,10000,44.77999878,447799.9878,0.722222222,
13554,,,7/15/2021,UGI,10000,46.40999985,464099.9985,0.722222222,
13555,,,08-09-2021,UGI,10000,47.27999878,472799.9878,0.722222222,
13556,,,09-02-2021,UGI,10000,47.20999908,472099.9908,0.722222222,
13557,,,10/19/2021,UGI,10000,44.68000031,446800.0031,0.722222222,
13558,,,12/14/2021,UGI,10000,45.41999817,454199.9817,0.722222222,
13559,,,1/25/2022,UGI,10000,44.77999878,447799.9878,0.722222222,
13560,,,2/16/2022,UGI,10000,38.47000122,384700.0122,0.722222222,
13561,,,3/16/2022,UGI,10000,36.52999878,365299.9878,0.722222222,
13562,,,04-11-2022,UGI,10000,36.70000076,367000.0076,0.722222222,
13563,,,7/15/2022,UGI,10000,40.66999817,406699.9817,0.722222222,
13564,,,08-08-2022,UGI,10000,40.75999832,407599.9832,0.722222222,
13565,,,9/14/2022,UGI,10000,38.49000168,384900.0168,0.722222222,
13566,,,10/19/2022,UGI,10000,33.33000183,333300.0183,0.722222222,
13567,,,11-09-2022,UGI,10000,35.84000015,358400.0015,0.722222222,
13568,,,12/16/2022,UGI,10000,37.72999954,377299.9954,0.722222222,
13569,,,1/27/2023,UGI,10000,40.08000183,400800.0183,0.722222222,
13570,,,02-08-2023,UGI,10000,40.36999893,403699.9893,0.722222222,
13571,,,03-09-2023,UGI,10000,37.02000046,370200.0046,0.722222222,
13572,,,4/14/2020,UNPSF,10000,0.898000002,8980.00002,0.396825397,
13573,,,5/19/2020,UNPSF,10000,0.898000002,8980.00002,0.396825397,
13574,,,06-10-2020,UNPSF,10000,0.898000002,8980.00002,0.396825397,
13575,,,7/16/2020,UNPSF,10000,0.898000002,8980.00002,0.396825397,
13576,,,08-11-2020,UNPSF,10000,0.898000002,8980.00002,0.396825397,
13577,,,9/28/2020,UNPSF,10000,0.898000002,8980.00002,0.396825397,
13578,,,11-11-2020,UNPSF,10000,0.829999983,8299.99983,0.396825397,
13579,,,1/21/2021,UNPSF,10000,0.829999983,8299.99983,0.396825397,
13580,,,03-03-2021,UNPSF,10000,0.829999983,8299.99983,0.396825397,
13581,,,04-01-2021,UNPSF,10000,0.829999983,8299.99983,0.396825397,
13582,,,05-03-2021,UNPSF,10000,0.829999983,8299.99983,0.396825397,
13583,,,7/15/2021,UNPSF,10000,0.829999983,8299.99983,0.396825397,
13584,,,08-09-2021,UNPSF,10000,1,10000,0.396825397,
13585,,,09-02-2021,UNPSF,10000,1,10000,0.396825397,
13586,,,10/19/2021,UNPSF,10000,0.985000014,9850.00014,0.396825397,
13587,,,12/14/2021,UNPSF,10000,1.029999971,10299.99971,0.396825397,
13588,,,1/25/2022,UNPSF,10000,1.029999971,10299.99971,0.396825397,
13589,,,2/16/2022,UNPSF,10000,1.029999971,10299.99971,0.396825397,
13590,,,3/16/2022,UNPSF,10000,1.029999971,10299.99971,0.396825397,
13591,,,04-11-2022,UNPSF,10000,0.800000012,8000.00012,0.396825397,
13592,,,7/15/2022,UNPSF,10000,0.800000012,8000.00012,0.396825397,
13593,,,08-08-2022,UNPSF,10000,0.800000012,8000.00012,0.396825397,
13594,,,9/14/2022,UNPSF,10000,0.821799994,8217.99994,0.396825397,
13595,,,10/19/2022,UNPSF,10000,0.768700004,7687.00004,0.396825397,
13596,,,11-09-2022,UNPSF,10000,0.768700004,7687.00004,0.396825397,
13597,,,12/16/2022,UNPSF,10000,0.768700004,7687.00004,0.396825397,
13598,,,1/27/2023,UNPSF,10000,0.768700004,7687.00004,0.396825397,
13599,,,02-08-2023,UNPSF,10000,0.768700004,7687.00004,0.396825397,
13600,,,03-09-2023,UNPSF,10000,0.768700004,7687.00004,0.396825397,
13601,Unitil Corp,United States,4/14/2020,UTL,10000,56.13999939,561399.9939,0.361111111,Fossil
13602,Unitil Corp,United States,5/19/2020,UTL,10000,46.68000031,466800.0031,0.361111111,Fossil
13603,Unitil Corp,United States,06-10-2020,UTL,10000,49.27999878,492799.9878,0.361111111,Fossil
13604,Unitil Corp,United States,7/16/2020,UTL,10000,46.25,462500,0.361111111,Fossil
13605,Unitil Corp,United States,08-11-2020,UTL,10000,43.11000061,431100.0061,0.361111111,Fossil
