Ticker,CreatedDate,Quantity,Stock_Price,Invested_Value,ESGScore,Climate,Country,Company,Latitude
LX,7/15/2021,10000,10.73999977,107399.9977,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,08-09-2021,10000,7.909999847,79099.99847,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,09-02-2021,10000,7.244999886,72449.99886,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,10/19/2021,10000,5.880000114,58800.00114,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,12/14/2021,10000,4,40000,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,1/25/2022,10000,3.440000057,34400.00057,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,2/16/2022,10000,3.950000048,39500.00048,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,3/16/2022,10000,2.849999905,28499.99905,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,04-11-2022,10000,2.410000086,24100.00086,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,7/15/2022,10000,2.109999895,21099.99895,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,08-08-2022,10000,2.13499999,21349.9999,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,9/14/2022,10000,1.970000029,19700.00029,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,10/19/2022,10000,1.639999986,16399.99986,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,11-09-2022,10000,1.350000024,13500.00024,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,12/16/2022,10000,1.835000038,18350.00038,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,1/27/2023,10000,3.670000076,36700.00076,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,02-08-2023,10000,3.329999924,33299.99924,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,03-09-2023,10000,2.769999981,27699.99981,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
MAHMF,4/14/2020,10000,3.410000086,34100.00086,0.396825397,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,5/19/2020,10000,11,110000,0.396825397,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,06-10-2020,10000,6.199999809,61999.99809,0.396825397,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,7/16/2020,10000,7.599999905,75999.99905,0.396825397,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,08-11-2020,10000,8.199999809,81999.99809,0.396825397,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,9/28/2020,10000,6.349999905,63499.99905,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,11-11-2020,10000,6.199999809,61999.99809,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,1/21/2021,10000,12,120000,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,03-03-2021,10000,10.98999977,109899.9977,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,04-01-2021,10000,11.30000019,113000.0019,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,05-03-2021,10000,10.14999962,101499.9962,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,7/15/2021,10000,10.13000011,101300.0011,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,08-09-2021,10000,9.539999962,95399.99962,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,09-02-2021,10000,10.89999962,108999.9962,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,10/19/2021,10000,11.28999996,112899.9996,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,12/14/2021,10000,11,110000,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,1/25/2022,10000,11.30000019,113000.0019,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,2/16/2022,10000,11.14999962,111499.9962,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,3/16/2022,10000,10,100000,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,04-11-2022,10000,11.18999958,111899.9958,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,7/15/2022,10000,14.57999992,145799.9992,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,08-08-2022,10000,15.02999973,150299.9973,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,9/14/2022,10000,15.14999962,151499.9962,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,10/19/2022,10000,14.56999969,145699.9969,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,11-09-2022,10000,16.13999939,161399.9939,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,12/16/2022,10000,16.60000038,166000.0038,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,1/27/2023,10000,16.29999924,162999.9924,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,02-08-2023,10000,16.75,167500,0,,India,Mahindra & Mahindra Ltd,20.3484
MAHMF,03-09-2023,10000,16.63999939,166399.9939,0,,India,Mahindra & Mahindra Ltd,20.3484
MANU,4/14/2020,10000,15.56999969,155699.9969,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,5/19/2020,10000,16.54999924,165499.9924,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,06-10-2020,10000,17.10000038,171000.0038,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,7/16/2020,10000,15.14999962,151499.9962,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,08-11-2020,10000,15.36999989,153699.9989,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,9/28/2020,10000,15.06000042,150600.0042,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,11-11-2020,10000,15.42000008,154200.0008,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,1/21/2021,10000,16.18000031,161800.0031,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,03-03-2021,10000,19.70000076,197000.0076,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,04-01-2021,10000,16.28000069,162800.0069,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,05-03-2021,10000,17.70999908,177099.9908,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,7/15/2021,10000,15.13000011,151300.0011,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,08-09-2021,10000,16.35000038,163500.0038,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,09-02-2021,10000,17.89999962,178999.9962,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,10/19/2021,10000,16.75,167500,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,12/14/2021,10000,14.46000004,144600.0004,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,1/25/2022,10000,13.47999954,134799.9954,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,2/16/2022,10000,13.82999992,138299.9992,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,3/16/2022,10000,12.76000023,127600.0023,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,04-11-2022,10000,14.69999981,146999.9981,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,7/15/2022,10000,11.03999996,110399.9996,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,08-08-2022,10000,11.57999992,115799.9992,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,9/14/2022,10000,14.77000046,147700.0046,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
