,Ticker,CreatedDate,Stock_Price,Quantity,Invested_Value,ESGScore,Climate,Country,Company
236, SEBYF,8/11/2020,157.2727203,10000,1572727.203,0.396825397,GenderEquality,France,SEB SA
237, SEBYF,9/28/2020,157.2727203,10000,1572727.203,0.396825397,GenderEquality,France,SEB SA
238, SEBYF,11/11/2020,157.2727203,10000,1572727.203,0.396825397,GenderEquality,France,SEB SA
239, SEBYF,1/21/2021,162.7272644,10000,1627272.644,0.396825397,GenderEquality,France,SEB SA
240, SEBYF,3/3/2021,162.7272644,10000,1627272.644,0.396825397,GenderEquality,France,SEB SA
241, SEBYF,4/1/2021,171.25,10000,1712500.0,0.396825397,GenderEquality,France,SEB SA
242, SEBYF,5/3/2021,182.9208984,10000,1829208.984,0.396825397,GenderEquality,France,SEB SA
243, SEBYF,7/15/2021,179.75,10000,1797500.0,0.396825397,GenderEquality,France,SEB SA
244, SEBYF,8/9/2021,166.1100006,10000,1661100.006,0.396825397,GenderEquality,France,SEB SA
245, SEBYF,9/2/2021,164.0,10000,1640000.0,0.396825397,GenderEquality,France,SEB SA
246, SEBYF,10/19/2021,164.0,10000,1640000.0,0.396825397,GenderEquality,France,SEB SA
247, SEBYF,12/14/2021,149.6100006,10000,1496100.006,0.396825397,GenderEquality,France,SEB SA
248, SEBYF,1/25/2022,142.5800018,10000,1425800.018,0.396825397,GenderEquality,France,SEB SA
249, SEBYF,2/16/2022,110.6999969,10000,1106999.969,0.396825397,GenderEquality,France,SEB SA
250, SEBYF,3/16/2022,145.0,10000,1450000.0,0.396825397,GenderEquality,France,SEB SA
251, SEBYF,4/11/2022,145.0,10000,1450000.0,0.396825397,GenderEquality,France,SEB SA
252, SEBYF,7/15/2022,96.12303162,10000,961230.3162,0.396825397,GenderEquality,France,SEB SA
253, SEBYF,8/8/2022,96.12303162,10000,961230.3162,0.396825397,GenderEquality,France,SEB SA
254, SEBYF,9/14/2022,76.48876953,10000,764887.6953,0.396825397,GenderEquality,France,SEB SA
255, SEBYF,10/19/2022,63.72888947,10000,637288.8947,0.396825397,GenderEquality,France,SEB SA
256, SEBYF,11/9/2022,63.72888947,10000,637288.8947,0.396825397,GenderEquality,France,SEB SA
257, SEBYF,12/16/2022,63.72888947,10000,637288.8947,0.396825397,GenderEquality,France,SEB SA
258, SEBYF,1/27/2023,80.59999847,10000,805999.9847,0.396825397,GenderEquality,France,SEB SA
259, SEBYF,2/8/2023,80.59999847,10000,805999.9847,0.396825397,GenderEquality,France,SEB SA
260, SEBYF,3/9/2023,80.59999847,10000,805999.9847,0.396825397,GenderEquality,France,SEB SA
261, ACGBF,4/14/2020,0.430000007,10000,4300.00007,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
262, ACGBF,5/19/2020,0.409999996,10000,4099.99996,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
263, ACGBF,6/10/2020,0.389999986,10000,3899.99986,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
264, ACGBF,7/16/2020,0.360000014,10000,3600.00014,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
265, ACGBF,8/11/2020,0.349999994,10000,3499.99994,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
266, ACGBF,9/28/2020,0.319999993,10000,3199.99993,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
267, ACGBF,11/11/2020,0.370000005,10000,3700.00005,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
268, ACGBF,1/21/2021,0.400000006,10000,4000.00006,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
269, ACGBF,3/3/2021,0.340000004,10000,3400.00004,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
270, ACGBF,4/1/2021,0.400000006,10000,4000.00006,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
271, ACGBF,5/3/2021,0.379999995,10000,3799.99995,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
272, ACGBF,7/15/2021,0.340000004,10000,3400.00004,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
273, ACGBF,8/9/2021,0.340000004,10000,3400.00004,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
274, ACGBF,9/2/2021,0.340000004,10000,3400.00004,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
275, ACGBF,10/19/2021,0.330000013,10000,3300.00013,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
276, ACGBF,12/14/2021,0.349999994,10000,3499.99994,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
277, ACGBF,1/25/2022,0.370000005,10000,3700.00005,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
278, ACGBF,2/16/2022,0.400000006,10000,4000.00006,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
279, ACGBF,3/16/2022,0.360000014,10000,3600.00014,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
280, ACGBF,4/11/2022,0.370000005,10000,3700.00005,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
281, ACGBF,7/15/2022,0.340000004,10000,3400.00004,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
282, ACGBF,8/8/2022,0.319999993,10000,3199.99993,0.396825397,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
283, ACGBF,9/14/2022,0.319999993,10000,3199.99993,0.793650794,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
284, ACGBF,10/19/2022,0.289999992,10000,2899.99992,0.793650794,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
285, ACGBF,11/9/2022,0.289999992,10000,2899.99992,0.793650794,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
286, ACGBF,12/16/2022,0.330000013,10000,3300.00013,0.793650794,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
287, ACGBF,1/27/2023,0.370000005,10000,3700.00005,0.793650794,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
288, ACGBF,2/8/2023,0.349999994,10000,3499.99994,0.793650794,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
289, ACGBF,3/9/2023,0.349999994,10000,3499.99994,1.19047619,"Fossil,GenderEquality",China,Agricultural Bank of China Ltd
290, FCODF,4/14/2020,565.0,10000,5650000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
291, FCODF,5/19/2020,588.7886963,10000,5887886.963,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
292, FCODF,6/10/2020,770.0,10000,7700000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
293, FCODF,7/16/2020,758.9771118,10000,7589771.118,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
294, FCODF,8/11/2020,718.0,10000,7180000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
295, FCODF,9/28/2020,850.0,10000,8500000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
296, FCODF,11/11/2020,809.0,10000,8090000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
297, FCODF,1/21/2021,956.015625,10000,9560156.25,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
298, FCODF,3/3/2021,951.3477783,10000,9513477.783,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
299, FCODF,4/1/2021,951.3477783,10000,9513477.783,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
300, FCODF,5/3/2021,951.3477783,10000,9513477.783,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
301, FCODF,7/15/2021,1410.0,10000,14100000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
302, FCODF,8/9/2021,1410.0,10000,14100000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
303, FCODF,9/2/2021,1525.0,10000,15250000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
304, FCODF,10/19/2021,1575.0,10000,15750000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
305, FCODF,12/14/2021,1373.0,10000,13730000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
306, FCODF,1/25/2022,1361.199951,10000,13611999.51,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
307, FCODF,2/16/2022,1324.0,10000,13240000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
308, FCODF,3/16/2022,1190.0,10000,11900000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
309, FCODF,4/11/2022,1190.0,10000,11900000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
310, FCODF,7/15/2022,1095.0,10000,10950000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
311, FCODF,8/8/2022,1190.0,10000,11900000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
312, FCODF,9/14/2022,1190.0,10000,11900000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
313, FCODF,10/19/2022,1023.0,10000,10230000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
314, FCODF,11/9/2022,1023.0,10000,10230000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
315, FCODF,12/16/2022,1023.0,10000,10230000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
316, FCODF,1/27/2023,1023.0,10000,10230000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
317, FCODF,2/8/2023,1600.0,10000,16000000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
318, FCODF,3/9/2023,1599.0,10000,15990000.0,0.793650794,"Deforestation,GenderEquality",France,"Financiere de l'Odet SA,Compagnie de l`Odet"
319, CHDRF,4/14/2020,360.0,10000,3600000.0,0.396825397,GenderEquality,France,Christian Dior SE
320, CHDRF,5/19/2020,375.0,10000,3750000.0,0.396825397,GenderEquality,France,Christian Dior SE
321, CHDRF,6/10/2020,456.9132996,10000,4569132.996,0.396825397,GenderEquality,France,Christian Dior SE
322, CHDRF,7/16/2020,475.0,10000,4750000.0,0.396825397,GenderEquality,France,Christian Dior SE
323, CHDRF,8/11/2020,408.0499878,10000,4080499.878,0.396825397,GenderEquality,France,Christian Dior SE
324, CHDRF,9/28/2020,405.25,10000,4052500.0,0.396825397,GenderEquality,France,Christian Dior SE
325, CHDRF,11/11/2020,503.0,10000,5030000.0,0.396825397,GenderEquality,France,Christian Dior SE
326, CHDRF,1/21/2021,534.0,10000,5340000.0,0.396825397,GenderEquality,France,Christian Dior SE
327, CHDRF,3/3/2021,586.4508057,10000,5864508.057,0.396825397,GenderEquality,France,Christian Dior SE
328, CHDRF,4/1/2021,600.8753052,10000,6008753.052,0.396825397,GenderEquality,France,Christian Dior SE
329, CHDRF,5/3/2021,755.0,10000,7550000.0,0.396825397,GenderEquality,France,Christian Dior SE
330, CHDRF,7/15/2021,750.0,10000,7500000.0,0.396825397,GenderEquality,France,Christian Dior SE
331, CHDRF,8/9/2021,832.0,10000,8320000.0,0.396825397,GenderEquality,France,Christian Dior SE
332, CHDRF,9/2/2021,731.0499878,10000,7310499.878,0.396825397,GenderEquality,France,Christian Dior SE
333, CHDRF,10/19/2021,755.0,10000,7550000.0,0.396825397,GenderEquality,France,Christian Dior SE
334, CHDRF,12/14/2021,763.6300049,10000,7636300.049,0.396825397,GenderEquality,France,Christian Dior SE
335, CHDRF,1/25/2022,762.0,10000,7620000.0,0.396825397,GenderEquality,France,Christian Dior SE
